Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM23,Comm23,Notes
601,60,25,F,,0,402,369,75,,focal
601.1,75,47,,,,,,,,"rs, dead22"
602,140,15,F,,0,358,286,50,wrong22 incl ph in mmt,
603,485,5,H,,31,240,195,25,wrong22,"wtp sep 2 plts, focal"
604,490,20,F,8,0,,,,,"dead21, alive 22"
605.1,640,35,F,,0,115,70,15,,"Mix min pp ph,gs"
606.1,756,15,H,,0,95,87,10,,yc
607,1235,5,H,,32,155,148,20,,
608,1360,30,H,,0,"24,44","16,29","60,25",db,"Mix min pp ph, 2 pcs"
609,1370,25,H,,,,,,dead23,"focal, d22, d23"
610,1385,20,H,,0,"54,38,20","38,8,12","30,30,40",,3 pcs
610.2,1390,25,H,,,,,,,"bh, d22, d23"
611,1390,40,Mix,,0,"68,48,50,20,19","45,44,26,18,18","30,30,30,0,0","22 missed some, mix grass",diff inc pl D 5 pcs
612,1410,40,H,,0,"54,44","42,38","10,15",,2 pcs
613,1440,25,Mix,,0,99,29,20,db,"5pcs, ph"
613.4,1445,38, ,,,30,26,10,,wd
615,1470,28,F,,2,145,125,10,,focal
617,1480,10,F,,0,58,38,5,,
617.2,1490,25, ,7,0,,,,db,wd
617.1,1495,10, ,,0,34,27,5,,yc
616,1500,40,H,,0,75,69,5,,
618,1740,30,H,,5,217,175,80,,focal
618.1,1760,15,H,,0,60,54,5,,wc
621.1,1770,40,F,,0,32,30,10,!geum,rh
619,1775,20,,,,,,,,"Mix min ph, d22, d23"
621,1775,30,H,,,,,,,"Mix min ph d22, d23"
622.6,1780,50,F,,,,,,,"ys d22, d23"
622,1790,30,F,,4,"82,34,124","63,27,118","50,40,10",db,"Focal !622.1,622.2&620"
622.2,1790,45,F,,2,73,44,5,,"Htp sep 622.1/622; !620, os"
620,1800,25,F,,0,61,56,5,,Tp sep 622
622.3,1800,45,H,7,0,,,,,rh
620.3,1807,32,H,,0,39,32,5,,od
622.4,1815,50,H,,0,43,28,0,,wc
620.4,1820,27,F,,0,45,42,5,,rs
622.5,1820,50,H,,0,30,23,0,,bd
801,105,35,H,,0,198,108,80,,
803,108,25,,14,0,,,,,"2pc, mixed grass"
805,1110,15,H,,5,200,152,40,,Mix pp
808,1125,20,F,,,,,,dead23,dead23
810,1125,40,F,,10,173,132,30,,
809,1130,10,F,,0,244,105,50,22 didnt incl pc R,incl pc UR
808.1,1135,25, ,8,0,,,,,"Mix phl, bd"
812.2,1142,38,F,,0,56,23,20,,rc
813,1145,10,F,,1,215,174,45,"db, diff",2 pc
812.1,1145,30, ,5,0,,,,db,GD
812,1145,40,H,,0,70,51,0,,
