Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM23,Comm23,Notes
22,4.65,0.2, ,,0,39,30,50,,Mixed pp
24,4.7,0.1, ,,0,47,45,80,db,mix min
25,4.85,0.4,F,,1,69,46,50,,"rh, 1.9 M on X axis"
25.2,5.05,0.2, ,,0,42,39,0,,mix pp wc
27,5.35,0.5,F,,28,140,91,25,,"mix trif nincl pl r, wtps sep"
M10,5.55,0,H,,0,54,25,15,,"full TP, bd"
28,5.7,0.25,H,,1,88,73,10,,mix pp min
30,5.75,0.15,,,,,,,,"focal, dead20"
31,5.9,0.1,H,,0,60,42,20,db,
18.9,6.14,0.5,,,4,64,36,5,,rc
32,6.2,0.15,F,,3,79,35,10,db,
32.3,6.3,0.15, ,,0,24,21,10,,gd bew 1ros r
32.4,6.35,0.15, ,10,0,,,,,yc
33,6.45,0.15,H,,32,144,61,35,,mix min focal
34,6.9,0.15,H,,80,134,116,15,,focal
34.2,7.1,0.4, ,4,0,,,,,bh
35x,7.25,0.45,,7,0,,,,,GS
35.8,7.3,0.2,,,,,,,,ys dead23
35.2,7.45,0.4,H,,0,47,44,40,db,os
35.5,7.5,0.35, ,3,0,,,,,RC !phl
35.3,7.5,0.45,,6,0,,,,,yc
35.15,7.6,0.3, ,8,0,,,,,od
35.16,7.6,0.4,H,,0,35,22,50,db,wh
36.1,7.65,0.4, ,1,0,,,,,BS
37,8.1,0.3,H,,57,175,138,30,,focal incl pc D
37.4,8.3,0.25,H,,0,34,27,0,,YD
37.3,8.3,0.35, ,,0,36,21,10,,RH
38,8.35,0.25,H,,0,46,31,0,,mixed min
39,8.8,0.35,F,,18,93,87,5,,focal
40.1,9.2,0.3, ,,0,41,27,15,,yc
43,9.4,0.05,H,,1,35,25,35,,bew pp
43.4,9.5,0, ,8,0,,,,,rs
41,9.5,0.5,F,,0,88,61,40,"db, PM22 wrong?",
43.5,9.7,0.2,F,,0,63,57,0,,gb
45,10.25,0.05,H,,16,63,43,5,,gh
44,10.3,0.15, ,,0,"30, 13","21, 11","15, 0",,ys 2pc
46.3,10.65,0.15, ,2,0,,,,,gh
46.2,10.65,0.2,H,,4,36,20,5,,ws
46.4,10.7,0.3, ,5,0,,,,,Rh
47.2,10.9,0.2, ,,0,32,19,15,,Bs
47.3,11,0.15, ,15,0,,,,,yh
48.1,11.1,0.35, ,15,0,,,,,gd
48,11.15,0.5,F,,35,75,50,15,,"No tag,rh"
49,11.3,0.35,H,,24,92,74,15,,focal
50,11.35,0.4,F,,46,125,106,30,,
51.1,12,0.5, ,,1,35,34,20,,gh
51.3,12.1,0.25, ,5,0,,,,,Rb
51,12.3,0.4,F,,29,178,127,45,Size23 wrong,focal
52,12.4,0.2,H,,1,56,48,30,,
53,12.5,0.15,F,,,,,,,dead23 wtps sep 54
54,12.65,0.15,H,,25,109,70,15,,
54.3,12.7,0.35,H,,0,41,28,20,,gh
55,12.9,0.5,H,,133,203,152,5,,
55.1,12.95,0.2,H,18,0,,,,db,gh
56,13.05,0.3, ,,0,79,74,30,,
58,13.1,0,H,,2,84,62,30,,OD
58.1,13.15,0.15,H,,0,48,24,0,,gs
59,13.4,0.5,H,,16,90,58,35,,incl pc R
64,13.7,0.45,H,,2,82,50,25,,
61,13.75,0,F,,15,103,68,30,,
63,13.75,0.3,H,,0,118,95,5,,
66,14.55,0.1,H,,9,66,28,5,,
67.1,14.6,0.25, ,,0,,,,,"under rock, bd"
67,14.65,0.2,H,,21,83,55,40,, mix min
69,14.75,0.4,H,,3,92,90,30,,
68,14.8,0.1,H,,15,90,68,30,db,Mix min
70,14.85,0.5,H,,,,,,,dead22
72,15.55,0.2,H,,196,197,160,20,,rs no tag
73.1,16.1,0.05, ,,0,45,31,5,,gs
74,16.15,0.2,H,,94,120,88,5,A122 wrong,
18.11,16.15,0.2,H,,32,81,71,5,,gc
73,16.3,0,H,,9,83,65,5,,
75.1,0.4,0.2,H,,0,62,56,10,,"bh, incl pcD"
75,0.5,0.4,H,,19,103,85,10,,
75.3,0.6,0.25,,,0,64,53,40,,oc
76.1,0.9,0.5,,,5,53,35,5,,rd
76.2,0.95,0.25,,12,0,,,,,bs
76,1,0.1,F,,6,84,70,0,,
76.3,1.25,0.15,,,9,47,34,5,,"mix min, gh"
76.4,1.35,0.1,,,0,40,25,25,,bs
79.2,2.5,0.05,,,0,52,25,0,,u rock!
79,2.55,0.15,,,0,27,16,15,db!!!,Mix pp
81,3.1,0.1,H,,2,87,80,25,,
82,3.4,0.25,,,0,79,34,45,db!,
83.3,4.25,0.5,,,0,37,16,0,,bc
83.5,4.5,0.35,,12,0,,,,,rc
