ID,Color,Fruit,Seed_number,Seed_Mass,Seeds_plated,molded,Germinated,Total_Seeds_end,Comments
EK261,B,0,0,0,,,,,
EK261,G,0,0,0,,,,,
EK261,O,0,0,0,,,,,
EK263,R,1,13,1.11,12,6,1,15,
EK263,G,1,2,0.216,2,2,0,2,
EK263,B,0,0,0,,,,,
EK271,G,1,15,2.037,15,0,10,15,
EK271,B,0,0,0,,,,,
EK271,O,0,0,0,,,,,
EK275,O,1,3,0.263,3,2,1,3,
EK275,G,1,3,0.378,3,3,0,3,
EK275,B,0,0,0,,,,,
EK275,R,0,0,0,,,,,
EK276,G,1,22,2.37,22,8,4,22,
EK276,B,0,0,0,,,,,
EK276,O,0,0,0,,,,,
EK294,B,1,9,1.321,8,7,0,8,
EK294,R,0,0,0,,,,,
EK294,O,0,0,0,,,,,
EK294,G,0,0,0,,,,,
EK294B,O,0,0,0,,,,,
EK294B,G,0,0,0,,,,,
EK294B,R,0,0,0,,,,,
EK294B,B,0,0,0,,,,,
EK296,G,1,2,0.196,2,1,0,2,
EK296,R,0,0,0,,,,,
EK296,B,0,0,0,,,,,
EK296,O,0,0,0,,,,,
EK297,G,1,4,0.488,4,4,0,4,
EK297,R,0,0,0,,,,,
EK297,B,0,0,0,,,,,
EK297,O,0,0,0,,,,,
EK300,G,1,15,1.695,15,4,10,15,
EK300,O,0,0,0,,,,,
EK300,B,0,0,0,,,,,
EK50,O,0,0,0,,,,,
EK50,B,0,0,0,,,,,
EK50,G,0,0,0,,,,,
EK66,G,1,2,0.389,2,1,0,2,
EK66,B,0,0,0,,,,,
EK66,O,0,0,0,,,,,
EK90,G,1,2,0.524,2,0,2,2,
EK90,O,0,0,0,,,,,
EK90,B,0,0,0,,,,,
EK90,R,0,0,0,,,,,
WK1,G,1,5,0.722,5,2,0,5,
WK1,R,1,3,0.471,3,1,0,3,
WK1,O,0,0,0,,,,,
WK1,B,0,0,0,,,,,
WK10,B,0,0,0,,,,,
WK10,R,0,0,0,,,,,
WK10,G,0,0,0,,,,,
WK10,O,0,0,0,,,,,
WK11,G,1,11,0.922,11,2,0,11,
WK11,O,1,10,0.403,10,0,1,10,
WK11,B,0,0,0,,,,,
WK11b,R,1,3,0.388,3,0,0,3,
WK11b,B,0,0,0,,,,,
WK11b,G,0,0,0,,,,,
WK11b,O,0,0,0,,,,,
WK12,R,1,22,2.275,22,5,0,22,
WK12,O,0,0,0,,,,,
WK12,B,0,0,0,,,,,
WK12,G,0,0,0,,,,,
WK13,R,1,10,0.511,9,0,0,9,
WK13,G,0,0,0,,,,,
WK13,O,0,0,0,,,,,
WK13,B,0,0,0,,,,,
WK14,G,0,0,0,,,,,
WK14,B,0,0,0,,,,,
WK14,O,0,0,0,,,,,
WK15,G,0,0,0,,,,,
WK15,O,0,0,0,,,,,
WK15,R,0,0,0,,,,,
WK15,B,0,0,0,,,,,
WK16,G,1,3,0.338,3,2,0,3,
WK16,B,0,0,0,,,,,
WK16,O,0,0,0,,,,,
WK17,R,1,24,2.333,24,0,0,21,
WK17,G,1,14,1.903,14,1,0,14,
WK17,B,0,0,0,,,,,
WK17,O,0,0,0,,,,,
WK18,G,1,6,0.898,6,0,0,6,
WK18,R,0,0,0,,,,,
WK18,B,0,0,0,,,,,
WK18,O,0,0,0,,,,,
WK19,B,0,0,0,,,,,
WK19,O,0,0,0,,,,,
WK19,G,0,0,0,,,,,
WK2,G,1,2,0.33,2,0,0,2,
WK2,O,0,0,0,,,,,
WK2,B,0,0,0,,,,,
WK20,O,0,0,0,,,,,
WK20,G,0,0,0,,,,,
WK20,B,0,0,0,,,,,
WK21,G,1,5,0.31,4,0,0,4,
WK21,O,0,0,0,,,,,
WK21,R,0,0,0,,,,,
WK21,B,0,0,0,,,,,
WK22,G,0,0,0,,,,,
WK22,B,0,0,0,,,,,
WK22,O,0,0,0,,,,,
WK23,R,1,23,2.289,23,6,3,23,
WK23,G,1,7,1.043,7,0,0,7,
WK23,O,0,0,0,,,,,
WK23,B,0,0,0,,,,,
WK24,O,0,0,0,,,,,
WK24,G,0,0,0,,,,,
WK24,R,0,0,0,,,,,
WK24,B,0,0,0,,,,,
WK25,G,1,8,0.745,8,5,0,8,
WK25,O,0,0,0,,,,,
WK25,B,0,0,0,,,,,
WK26,G,1,20,1.406,20,1,1,20,
WK26,B,0,0,0,,,,,
WK26,O,0,0,0,,,,,
WK27,O,0,0,0,,,,,
WK27,B,0,0,0,,,,,
WK27,R,0,0,0,,,,,
WK27,G,0,0,0,,,,,
WK28,G,1,20,2.439,16,4,7,16,
WK28,R,1,6,0.572,6,3,0,6,
WK28,B,1,1,0.194,1,0,0,1,
WK28,O,0,0,0,,,,,
WK28b,G,1,1,0.175,1,0,0,1,
WK28b,O,1,1,0.146,1,1,0,1,
WK28b,B,0,0,0,,,,,
WK29,G,1,17,1.796,17,7,1,17,
WK29,B,0,0,0,,,,,
WK29,O,0,0,0,,,,,
WK29,R,0,0,0,,,,,
WK29b,O,0,0,0,,,,,
WK29b,G,1,2,0.539,2,0,1,2,
WK29b,B,0,0,0,,,,,
WK3,R,1,1,0.071,1,1,0,1,
WK3,O,0,0,0,,,,,
WK3,G,0,0,0,,,,,
WK3,B,0,0,0,,,,,
WK30,B,0,0,0,,,,,
WK30,R,0,0,0,,,,,
WK30,G,0,0,0,,,,,
WK30,O,0,0,0,,,,,
WK30b,G,1,3,0.379,3,2,0,3,
WK30b,O,0,0,0,,,,,
WK30b,B,0,0,0,,,,,
WK31,G,1,11,1.446,11,6,1,11,
WK31,O,0,0,0,,,,,
WK31,B,0,0,0,,,,,
WK32,B,0,0,0,,,,,
WK32,R,0,0,0,,,,,
WK32,G,0,0,0,,,,,
WK32b,G,1,9,1.391,9,0,5,9,
WK32b,O,0,0,0,,,,,Two flowers marked - 0 fruits set
WK32b,B,0,0,0,,,,,
WK33,G,1,16,1.833,16,6,0,16,
WK33,O,0,0,0,,,,,
WK33,B,0,0,0,,,,,
WK34,G,1,34,3.593,33,0,30,33,
WK34,B,1,6,0.555,6,3,0,6,
WK34,O,0,0,0,,,,,
WK34,R,0,0,0,,,,,
WK34b,G,1,3,0.249,3,1,0,3,
WK34b,O,0,0,0,,,,,
WK34b,B,0,0,0,,,,,
WK34x,G,1,10,0.962,10,2,0,10,
WK34X,B,0,0,0,,,,,
WK34x,O,0,0,0,,,,,
WK35,G,1,4,0.523,4,4,0,4,
WK35,O,0,0,0,,,,,
WK35,B,0,0,0,,,,,
WK35X,O,1,3,0.148,3,0,0,3,
WK35X,G,1,1,0.007,1,0,0,1,
WK35x,B,0,0,0,,,,,
WK36,B,0,0,0,,,,,
WK36,G,0,0,0,,,,,
WK36,O,0,0,0,,,,,
WK37,R,1,5,0.596,5,2,0,5,
WK37,G,0,0,0,,,,,
WK37,B,0,0,0,,,,,
WK37,O,0,0,0,,,,,
