Site,Plant_ID,Population,Latitude,Longitude,Elevation,Sex,Certainty,Smut,Notes
Latir,1,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,2,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,3,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,4,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,5,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,6,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,7,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,8,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,9,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,10,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,11,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,12,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,13,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,14,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,15,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,16,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,17,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,18,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,19,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,20,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,21,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,22,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,23,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,24,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,25,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,26,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,27,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,28,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,29,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,30,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,31,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,32,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,33,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,34,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,35,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,36,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,37,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,38,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,39,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,40,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,41,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,42,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,43,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,44,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,45,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,46,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,47,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,48,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,49,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,50,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,51,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,52,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,53,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,54,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,55,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,56,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,57,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,58,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,59,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,60,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,61,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,62,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,63,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,64,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,65,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,66,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,67,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,68,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,69,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,70,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,71,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,72,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,73,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,74,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,75,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,76,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,77,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,78,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,79,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,80,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,81,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,82,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,83,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,84,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,85,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,86,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,87,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,88,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,89,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,90,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,91,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,92,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,93,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,94,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,95,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,96,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,97,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,98,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,99,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,100,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,101,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,102,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,103,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,104,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,105,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,106,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,107,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,108,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,109,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,110,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,111,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,112,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,113,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,114,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,115,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,116,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,117,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,118,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,119,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,120,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,121,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,122,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,123,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,124,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,125,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,126,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,127,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,128,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,129,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,130,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,131,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,132,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,133,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,134,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,135,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,136,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,137,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,138,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,139,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,140,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,141,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,142,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,143,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,144,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,145,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,146,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,147,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,148,Swale VP,36.79365,-105.48698,12424,H,,,
Latir,149,Swale VP,36.79365,-105.48698,12424,F,,,
Latir,150,Swale VP,36.79365,-105.48698,12424,F,,,
